index,family,recommendation,reason,instruction,output_duplicate_count
125,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a touch-free storage lid. Use D7 for TRIG, D8 for ECHO, and D11 for the servo signal. Open when an object is 55 cm or nearer. Keep it open while the object is present. Start a 4-second closing tim",1
126,Ultrasonic,KEEP,unique or useful skill,"For a beginner, explain: An HC-SR04 pulseIn call returned 0. What should the program do?",2
127,Kiswahili beginner,REDUCE,same/near-identical output already represented,Elezea kwa Kiswahili rahisi maana ya parameter. Usitumie istilahi ngumu bila kuzieleza.,4
128,Ultrasonic,REDUCE,same/near-identical output already represented,Explain clearly: An HC-SR04 pulseIn call returned 0. What should the program do?,2
129,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic storage-box lid. Use D2 for TRIG, D3 for ECHO, and D5 for the servo signal. Open when an object is 32 cm or nearer. Keep it open while the object is present. Start a 2.4-second closing",1
130,Kiswahili beginner,REDUCE,same/near-identical output already represented,Mwanafunzi mpya wa programming anauliza kuhusu argument. Usitumie istilahi ngumu bila kuzieleza.,4
131,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a contactless classroom container lid. Use D4 for TRIG, D7 for ECHO, and D9 for the servo signal. Open when an object is 48 cm or nearer. Keep it open while the object is present. Start a 2.8-seco",1
132,Kiswahili beginner,REDUCE,same/near-identical output already represented,Toa maelezo mafupi kuhusu return. Usitumie istilahi ngumu bila kuzieleza.,4
133,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a proximity-controlled flap. Use D10 for TRIG, D11 for ECHO, and D3 for the servo signal. Open when an object is 18 cm or nearer. Keep it open while the object is present. Start a 2.8-second closi",1
134,Other,REWRITE,constraint acknowledgement is too shallow; convert to real task,Use SQLite only. Do not use PostgreSQL or Supabase.,1
135,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic cabinet lid. Use D10 for TRIG, D11 for ECHO, and D3 for the servo signal. Open when an object is 55 cm or nearer. Keep it open while the object is present. Start a 2.8-second closing t",1
136,Kiswahili beginner,REDUCE,same/near-identical output already represented,Mwanafunzi mpya wa programming anauliza kuhusu loop. Usitumie istilahi ngumu bila kuzieleza.,4
137,Python,REDUCE,same/near-identical output already represented,Return runnable Python code. Fix this function so it returns the smallest value.,3
138,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic cabinet lid. Use D8 for TRIG, D9 for ECHO, and D5 for the servo signal. Open when an object is 55 cm or nearer. Keep it open while the object is present. Start a 2.8-second closing tim",1
139,Python,REDUCE,same/near-identical output already represented,Check the edge case before answering. Fix this function so 50 is a pass and marks outside 0 to 100 raise ValueError.,4
140,Kiswahili beginner,REDUCE,same/near-identical output already represented,Toa maelezo mafupi kuhusu list. Usitumie istilahi ngumu bila kuzieleza.,3
141,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a touch-free storage lid. Use D4 for TRIG, D7 for ECHO, and D11 for the servo signal. Open when an object is 18 cm or nearer. Keep it open while the object is present. Start a 1.6-second closing t",1
142,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic cabinet lid. Use D8 for TRIG, D9 for ECHO, and D6 for the servo signal. Open when an object is 22 cm or nearer. Keep it open while the object is present. Start a 1.2-second closing tim",1
143,Kiswahili beginner,REDUCE,same/near-identical output already represented,Mfundishe mwanafunzi anayeanza programming maana ya parameter. Usitumie istilahi ngumu bila kuzieleza.,4
144,Python,REDUCE,same/near-identical output already represented,Check the edge case before answering. Fix this function so an empty list returns 0.,4
145,Python,REWRITE,constraint acknowledgement is too shallow; convert to real task,Use only Python standard library. Do not use pandas.,1
146,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a touch-free storage lid. Use D7 for TRIG, D8 for ECHO, and D3 for the servo signal. Open when an object is 55 cm or nearer. Keep it open while the object is present. Start a 3.2-second closing ti",1
147,Ultrasonic,REDUCE,same/near-identical output already represented,"For a beginner, explain: Why must the Arduino, HC-SR04 and servo share GND?",2
148,Ultrasonic,REDUCE,same/near-identical output already represented,"For a beginner, explain: Does a normal HC-SR04 use SDA and SCL?",2
149,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a proximity-controlled flap. Use D9 for TRIG, D10 for ECHO, and D6 for the servo signal. Open when an object is 65 cm or nearer. Keep it open while the object is present. Start a 3.2-second closin",1
150,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a contactless classroom container lid. Use D2 for TRIG, D3 for ECHO, and D11 for the servo signal. Open when an object is 18 cm or nearer. Keep it open while the object is present. Start a 3.2-sec",1
151,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic storage-box lid. Use D10 for TRIG, D11 for ECHO, and D9 for the servo signal. Open when an object is 36 cm or nearer. Keep it open while the object is present. Start a 2.4-second closi",1
152,Servo,REDUCE,same/near-identical output already represented,"For a beginner, explain: Does the SG90 signal wire require an Arduino pin marked with the PWM symbol?",2
153,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a contactless classroom container lid. Use D8 for TRIG, D9 for ECHO, and D6 for the servo signal. Open when an object is 44 cm or nearer. Keep it open while the object is present. Start a 2.8-seco",1
154,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic cabinet lid. Use D4 for TRIG, D7 for ECHO, and D3 for the servo signal. Open when an object is 22 cm or nearer. Keep it open while the object is present. Start a 2.8-second closing tim",1
155,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic cabinet lid. Use D4 for TRIG, D7 for ECHO, and D11 for the servo signal. Open when an object is 32 cm or nearer. Keep it open while the object is present. Start a 2.4-second closing ti",1
156,Ultrasonic,KEEP,unique or useful skill,"I have ESP32, one buzzer and jumper wires. Do not add an ultrasonic sensor.",1
157,Kiswahili beginner,REDUCE,same/near-identical output already represented,Mfundishe mwanafunzi anayeanza programming maana ya loop. Usitumie istilahi ngumu bila kuzieleza.,4
158,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a touch-free storage lid. Use D7 for TRIG, D8 for ECHO, and D6 for the servo signal. Open when an object is 22 cm or nearer. Keep it open while the object is present. Start a 4-second closing time",1
159,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic demonstration lid. Use D2 for TRIG, D3 for ECHO, and D11 for the servo signal. Open when an object is 48 cm or nearer. Keep it open while the object is present. Start a 2.8-second clos",1
